lon,lat,administrado,unidad,subsector,riesgo,peligro,vulnerabilidad,pasivo_minero,pasivo_hidrocarburo,conflicto_socioamb
-73.11443,-14.19511,"SOUTHERN PERU COPPER CORPORATION, SUCURSAL DEL PERÚ",Los Chancas,Minería,Alto,Moderado,Alto,1-5,Sin pasivo,Sin conflicto
-78.1159,-7.87154,LA ARENA S.A.,La Arena,Minería,Alto,Moderado,Muy alto,1-5,Sin pasivo,Sin conflicto
-76.43036,-11.01306,PAN AMERICAN SILVER HUARON S.A.,Huarón,Minería,Alto,Alto,Alto,11-más,Sin pasivo,Alto
-72.26503,-14.43236,UTUNSA MINAS SAC,Utunsa,Minería,Alto,Moderado,Alto,0,Sin pasivo,Sin conflicto
-78.60036,-6.76464,ACTIVOS MINEROS S.A.C.,64 Pasivos Ambientales Mineros El Dorado,Minería,Alto,Moderado,Alto,11-más,Sin pasivo,Sin conflicto
-78.01019,-8.07888,"SOUTH METALLURGICAL RESOURCES, INC",Wolframfed I,Minería,Alto,Alto,Alto,0,Sin pasivo,Sin conflicto
-77.96404,-8.3067,COMPAÑÍA MINERA ELORO PERU S.A.C.,Victoria,Minería,Alto,Moderado,Alto,0,Sin pasivo,Sin conflicto
-76.27449,-10.43932,EMP.EXPLOTADORA DE VINCHOS LTDA S.A.C.,Vinchos,Minería,Alto,Alto,Alto,11-más,Sin pasivo,Sin conflicto
-70.26209,-16.54531,ARUNTANI S.A.C.; MINISTERIO DE ENERGIA Y MINAS,Florencia - Tucari,Minería,Alto,Alto,Moderado,0,Sin pasivo,Alto
-78.65802,-6.72929,ACTIVOS MINEROS S.A.C.,Pasivos Ambientales Mineros de la Ex Unidad Minera Cleopatra,Minería,Alto,Moderado,Alto,11-más,Sin pasivo,Sin conflicto
-76.67952,-10.62796,COMPAÑIA DE MINAS BUENAVENTURA S.A.A.,Uchucchacua,Minería,Alto,Alto,Muy alto,6-10,Sin pasivo,Sin conflicto
-78.22634,-7.60262,SHAHUINDO S.A.C.,Shahuindo,Minería,Alto,Moderado,Alto,11-más,Sin pasivo,Sin conflicto
-73.18643,-14.71706,COMPANIA MINERA ARES S.A.C.,Ranichico Oeste,Minería,Alto,Moderado,Alto,1-5,Sin pasivo,Sin conflicto
-76.76733,-10.447,CIA MINERA RAURA S A,Raura,Minería,Alto,Moderado,Alto,0,Sin pasivo,Sin conflicto
-78.69188,-6.74416,CIA MINERA COIMOLACHE SA,Tantahuatay,Minería,Alto,Moderado,Alto,11-más,Sin pasivo,Sin conflicto
-74.95298,-13.0725,RECUPERADA SOCIEDAD ANONIMA CERRADA - RECUPERADA S.A.C.,Recuperada,Minería,Alto,Alto,Alto,11-más,Sin pasivo,Sin conflicto
-77.44974,-8.04229,MINERA AURIFERA RETAMAS S.A.,UEA Retamas,Minería,Alto,Moderado,Muy alto,6-10,Sin pasivo,Sin conflicto
-75.6858,-12.43158,COMPANIA MINERA SAN VALENTIN S.A.,San Valentín,Minería,Alto,Moderado,Alto,1-5,Sin pasivo,Sin conflicto
-76.44179,-11.12638,COMPAÑIA MINERA CHUNGAR S.A.C.,Río Pallanga,Minería,Alto,Moderado,Alto,6-10,Sin pasivo,Sin conflicto
-73.1825,-14.79402,MINERA PEÑOLES DE PERU S.A.,San Pedro,Minería,Alto,Bajo,Muy alto,1-5,Sin pasivo,Sin conflicto
-76.16778,-11.59697,VOLCAN COMPANIA MINERA S.A.A.,Ticlio,Minería,Alto,Moderado,Alto,1-5,Sin pasivo,Sin conflicto
-71.77024,-15.07677,AMG-AUPLATA MINING GROUP PERU S.A.C.,Suyckutambo,Minería,Alto,Alto,Alto,11-más,Sin pasivo,Sin conflicto
