lon,lat,NOM_COMP,TIPO_COMP,estado_dr,unidad,administrado,subsector,area_m2
-71.30898,-14.88286,Depósito de relaves Antapaccay - Expansión Tintaya (preliminar - referencia),Depósito,Operación,Antapaccay - Expansión Tintaya,COMPAÑIA MINERA ANTAPACCAY S.A.,Minería,20168.66157416
-71.32193,-14.88237,Depósito de relaves Antapaccay - Expansión Tintaya (preliminar - referencia),Depósito,Operación,Antapaccay - Expansión Tintaya,COMPAÑIA MINERA ANTAPACCAY S.A.,Minería,3420.39063514
-71.31996,-14.88214,Depósito de relaves Antapaccay - Expansión Tintaya (preliminar - referencia),Depósito,Operación,Antapaccay - Expansión Tintaya,COMPAÑIA MINERA ANTAPACCAY S.A.,Minería,4706.16904627
-71.31901,-14.88224,Depósito de relaves Antapaccay - Expansión Tintaya (preliminar - referencia),Depósito,Operación,Antapaccay - Expansión Tintaya,COMPAÑIA MINERA ANTAPACCAY S.A.,Minería,6821.92073143
-71.31739,-14.88266,Depósito de relaves Antapaccay - Expansión Tintaya (preliminar - referencia),Depósito,Operación,Antapaccay - Expansión Tintaya,COMPAÑIA MINERA ANTAPACCAY S.A.,Minería,40676.09047164
-71.31902,-14.88124,Depósito de relaves Antapaccay - Expansión Tintaya (preliminar - referencia),Depósito,Operación,Antapaccay - Expansión Tintaya,COMPAÑIA MINERA ANTAPACCAY S.A.,Minería,5833.7026446
-71.30937,-14.88531,Depósito de relaves Antapaccay - Expansión Tintaya (preliminar - referencia),Depósito,Operación,Antapaccay - Expansión Tintaya,COMPAÑIA MINERA ANTAPACCAY S.A.,Minería,70980.02031517
-71.31877,-14.88085,Depósito de relaves Antapaccay - Expansión Tintaya (preliminar - referencia),Depósito,Operación,Antapaccay - Expansión Tintaya,COMPAÑIA MINERA ANTAPACCAY S.A.,Minería,1394.46131166
-71.30722,-14.86597,Depósito de relaves Antapaccay - Expansión Tintaya (preliminar - referencia),Depósito,Operación,Antapaccay - Expansión Tintaya,COMPAÑIA MINERA ANTAPACCAY S.A.,Minería,1319341.67218395
-77.08656,-9.55349,Depósito de relaves Antamina (preliminar - referencia),Depósito,Operación,Antamina,COMPANIA MINERA ANTAMINA S.A,Minería,8596.49006005
-77.08986,-9.55327,Depósito de relaves Antamina (preliminar - referencia),Depósito,Operación,Antamina,COMPANIA MINERA ANTAMINA S.A,Minería,3372.90983217
-77.08488,-9.55252,Depósito de relaves Antamina (preliminar - referencia),Depósito,Operación,Antamina,COMPANIA MINERA ANTAMINA S.A,Minería,8526.66006384
-77.08349,-9.55133,Depósito de relaves Antamina (preliminar - referencia),Depósito,Operación,Antamina,COMPANIA MINERA ANTAMINA S.A,Minería,9618.50566286
-77.08863,-9.55377,Depósito de relaves Antamina (preliminar - referencia),Depósito,Operación,Antamina,COMPANIA MINERA ANTAMINA S.A,Minería,10215.08358029
-77.07297,-9.54888,Depósito de relaves Antamina (preliminar - referencia),Depósito,Operación,Antamina,COMPANIA MINERA ANTAMINA S.A,Minería,700.09241882
-77.07405,-9.54885,Depósito de relaves Antamina (preliminar - referencia),Depósito,Operación,Antamina,COMPANIA MINERA ANTAMINA S.A,Minería,836.89899092
-77.07522,-9.54828,Depósito de relaves Antamina (preliminar - referencia),Depósito,Operación,Antamina,COMPANIA MINERA ANTAMINA S.A,Minería,8528.77735969
-77.07006,-9.54587,Depósito de relaves Antamina (preliminar - referencia),Depósito,Operación,Antamina,COMPANIA MINERA ANTAMINA S.A,Minería,6885.34231074
