lon,lat,locacion,yacimiento,administrado,etapa,estatus,area_m2,evaluaciones,puntos_exceden,anio_supervision,estado_locacion,departamento,provincia,distrito
-81.17107,-4.38232,AA6572,Carrizo,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,Con afectación,56.63,1ra Evaluacion,1,2022.0,Supervisado,PIURA,TALARA,LOBITOS
-81.1774,-4.40318,AA7614,Carrizo,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,No supervisada,0.0,2da Evaluacion,,,No supervisado,PIURA,TALARA,LOBITOS
-81.16646,-4.3739,AA6943,Carrizo,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,Sin afectación,0.0,3ra Evaluacion,,2022.0,Supervisado,PIURA,TALARA,LOBITOS
-81.17451,-4.39773,AA9172,Carrizo,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,No supervisada,0.0,1ra Evaluacion,,,Observado,PIURA,TALARA,LOBITOS
-81.18205,-4.40233,AA9174,Carrizo,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,No supervisada,0.0,2da Evaluacion,,,Observado,PIURA,TALARA,LOBITOS
-81.17952,-4.39944,AA2207,Carrizo,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,No supervisada,0.0,4ta Evaluacion,,,Observado,PIURA,TALARA,LOBITOS
-81.17952,-4.39944,AA98,Carrizo,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,Con afectación,20.98,1ra Evaluacion,1,2023.0,Supervisado,PIURA,TALARA,LOBITOS
-81.18276,-4.39521,AA84,Carrizo,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,Con afectación,974.49,3ra Evaluacion,1,2022.0,Supervisado,PIURA,TALARA,LOBITOS
-81.18074,-4.39807,AA9137,Carrizo,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,Con afectación,75.53,2da Evaluacion,1,2023.0,Supervisado,PIURA,TALARA,LOBITOS
-81.18319,-4.40204,PQA-AA9993,Carrizo,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,No supervisada,0.0,1ra Evaluacion,,,Observado,PIURA,TALARA,LOBITOS
-81.18448,-4.39721,AA1639,Carrizo,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,Con afectación,161.19,2da Evaluacion,1,2023.0,Supervisado,PIURA,TALARA,LOBITOS
-81.18791,-4.39306,AA138,Carrizo,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,No supervisada,0.0,1ra Evaluacion,,,No supervisado,PIURA,TALARA,LOBITOS
-81.18816,-4.39183,AA6953,Carrizo,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,No supervisada,0.0,2da Evaluacion,,,No supervisado,PIURA,TALARA,LOBITOS
-81.18011,-4.40129,AA130,Carrizo,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,No supervisada,0.0,1ra Evaluacion,,,No supervisado,PIURA,TALARA,LOBITOS
-81.1774,-4.40318,AA5973,Carrizo,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,No supervisada,0.0,1ra Evaluacion,,,Observado,PIURA,TALARA,LOBITOS
-81.17455,-4.40288,AA6421,Carrizo,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,No supervisada,0.0,2da Evaluacion,,,Observado,PIURA,TALARA,LOBITOS
-81.17607,-4.39727,AA9168,Carrizo,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,Sin afectación,0.0,1ra Evaluacion,,2023.0,Supervisado,PIURA,TALARA,LOBITOS
-81.18205,-4.40233,AA9981,Carrizo,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,No supervisada,0.0,2da Evaluacion,,,No supervisado,PIURA,TALARA,LOBITOS
-81.17952,-4.39944,AA2173,Carrizo,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,No supervisada,0.0,2da Evaluacion,,,Observado,PIURA,TALARA,LOBITOS
-81.18074,-4.39807,AA87,Carrizo,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,No supervisada,0.0,2da Evaluacion,,,Observado,PIURA,TALARA,LOBITOS
-81.18448,-4.39721,PQA-AA9166,Carrizo,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,No supervisada,0.0,1ra Evaluacion,,,Observado,PIURA,TALARA,LOBITOS
-81.18198,-4.3968,AA1979,Carrizo,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,Sin afectación,0.0,2da Evaluacion,,2022.0,Supervisado,PIURA,TALARA,LOBITOS
-81.18319,-4.40204,AA9164,Carrizo,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,Sin afectación,0.0,1ra Evaluacion,,2023.0,Supervisado,PIURA,TALARA,LOBITOS
-81.17856,-4.39776,PQA-AA2177,Carrizo,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,No supervisada,0.0,2da Evaluacion,,,Observado,PIURA,TALARA,LOBITOS
