lon,lat,codigo,federacion,zona,tipo_impacto,fuente_impacto,antiguedad,lote,empresa,anio,detecto,descripcion,ubicacion,remediacion,responsable,estado_validacion
-76.164733,-2.706546,CSS201605,FECONACO,,Derrame antiguo de petróleo,,,Lote 1AB/192,Occidental Petroleum,2016,01/09/2016,Aún hay crudo antiguo en el suelo y llega a tres metros de profundidad. Este evento se dio en los tiempos de Oxy,"Pozo 15, cerca del km 19 de carretera. Cerca de ""Esteban Cocha"".",,Lady,1. Validado parcial
-76.161756,-2.342078,CNS202211,FECONACOR,Forestal Shiviyacu Carmen Huayurí Huayurí Norte,Derrame de crudo,Batería,Nuevo,Lote 1AB/192,Perupetro,2022.0,28/11/2022,Nueva ruptura en el Tanque 591 de la Batería Forestal provoca nuevo derrame. El crudo no deja de salir y continúa esparciéndose,"Tanque 591, Bateria Forestal, territorio de la CC.NN. Jose Olaya",,,
-76.161703,-2.342829,CNS20233,FECONACOR,Forestal Shiviyacu Carmen Huayurí Huayurí Norte,Derrame de crudo,Tubería,Nuevo,Lote 1AB/192,Perupetro,2023.0,26/02/2023,"Derrame en Bateria Forestal, tubería de 6 pulgadas",CC.NN. Jose Olaya,,,
-76.160477,-2.3290813,CIC201002,FECONACO,,Derrame nuevo de petróleo,,Antiguo,Lote 1AB/192,PlusPetrol Norte S.A,2010,2010-06-09,,Batería Dorissa.,,Ale,1. Validado parcial
-76.158634,-2.339431,CNS20193,FECONACOR,"Forestal, Shiviyacu, Carmen, Huayurí, Huayurí Norte",Botadero,,Antiguo,Lote 1AB/192,Occidental Petroleum Corporation (OXY),,17/12/2019,"Residuos solidos - latas, fierros, bidones","Forestal, comunidad José Olaya",,Laura,1. Validado parcial
-76.158354,-2.337875,CNS20194,FECONACOR,"Forestal, Shiviyacu, Carmen, Huayurí, Huayurí Norte",Botadero,,Antiguo,Lote 1AB/192,Pluspetrol Norte,,17/12/2019,"Area afectada 82m2, Latas,Fierros,Baterías,Tubos,Plasticos",BOE FORE 03 comunidad cercana José olaya,,Laura,1. Validado parcial
-76.15703,-2.635394,COE201542.5,"OEFA,. FECONACO",,otro,,,Lote 1AB/192,PlusPetrol Norte S.A,2015,21/09/2015,,Batería Dorissa.,,Lady,1. Validado parcial
-76.153036,-2.344645,COE201502,FECONACO,,Derrame nuevo de petróleo,,,Lote 1AB/192,"Pacific Stratus Energy del Perú, S.A.",2015,2015-11-07,Un derrame de un pozo.,Batería Forestal.,,Lady,1. Validado parcial
-76.148952,-2.419517,CRAS200601,FECONACO,,Derrame antiguo de petróleo,,,Lote 1AB/192,,2006,2006-12-12,Este evento se dio en 2003.,Batería Forestal.,,Claudia,2. Validado final
-76.147583,-2.6809006,COE201402,FECONACO,,Derrame nuevo de petróleo,,,Lote 1AB/192,PlusPetrol Norte S.A,2014,2014-05-01,,"Ocurrió cerca de la vía Jerusalén a Jibarito, alrededor del km 19.",,Cielo,1. Validado parcial
