lon,lat,nombre,tipo,etnia,familia_ling,federacion,zona
-76.62209,-5.60661,Bello Horizonte,Anexo,Chayahuita (Shawi),Cahuapana,OSHAYAP,Huallaga
-76.60592,-5.6261,Buenos Aires,Anexo,Chayahuita (Shawi),Cahuapana,OSHAYAP,Huallaga
-76.64337,-5.67278,Centro América,Anexo,Chayahuita (Shawi),Cahuapana,OSHAYAP,Huallaga
-76.77324,-5.48459,Los Angeles,Anexo,Chayahuita (Shawi),Cahuapana,OSHAYAP,Huallaga
-76.5102,-5.64994,Naranjal,Anexo,Chayahuita (Shawi),Cahuapana,FECONACHA,Huallaga
-76.6112,-5.67628,Naranjal,Anexo,Chayahuita (Shawi),Cahuapana,OSHAYAP,Huallaga
-76.57717,-5.66329,Nueva Jerusalen,Anexo,Chayahuita (Shawi),Cahuapana,No Existe,Huallaga
-76.73196,-5.52765,Nueva Barranquita,Anexo,Chayahuita (Shawi),Cahuapana,OSHAYAP,Huallaga
-76.46266,-5.67967,Nuevo Lima,Anexo,Chayahuita (Shawi),Cahuapana,OSHAYAP,Huallaga
-76.61777,-5.68282,Nuevo Moyobamba,Anexo,Chayahuita (Shawi),Cahuapana,OSHAYAP,Huallaga
-76.56527,-5.65948,Nuevo Mundo,Anexo,Chayahuita (Shawi),Cahuapana,No Existe,Huallaga
-76.60892,-5.62134,Nuevo Sabaloyacu,Anexo,Chayahuita (Shawi),Cahuapana,OSHAYAP,Huallaga
-76.66161,-5.69731,Nuevo San Lorenzo,Anexo,Chayahuita (Shawi),Cahuapana,OSHAYAP,Huallaga
-76.64526,-5.62166,Pampa Hermosa,Anexo,Chayahuita (Shawi),Cahuapana,OSHAYAP,Huallaga
-76.63932,-5.67539,Reyno Unido,Anexo,Chayahuita (Shawi),Cahuapana,OSHAYAP,Huallaga
-76.59376,-5.67861,San José de Yanayacu,Anexo,Chayahuita (Shawi),Cahuapana,OSHAYAP,Huallaga
-76.65746,-5.71162,San Miguel,Anexo,Chayahuita (Shawi),Cahuapana,OSHAYAP,Huallaga
-76.6741,-5.57058,San Juan de Paranapura,Anexo,Chayahuita (Shawi),Cahuapana,OSHAYAP,Huallaga
-76.75314,-5.50573,Santa Mercedes de Gallinazoyacu,Anexo,Chayahuita (Shawi),Cahuapana,OSHAYAP,Huallaga
-76.59619,-5.66918,Unión Nueva Soledad,Anexo,Chayahuita (Shawi),Cahuapana,OSHAYAP,Huallaga
-76.6557,-5.67206,Villa Alegre,Anexo,Chayahuita (Shawi),Cahuapana,OSHAYAP,Huallaga
-76.45417,-5.69816,Irapay,Principal,Chayahuita (Shawi),Cahuapana,FECONACHA,Huallaga
-76.69666,-5.55414,Libertad,Principal,Chayahuita (Shawi),Cahuapana,OSHAYAP,Huallaga
-76.68993,-5.62738,Loreto,Principal,Chayahuita (Shawi),Cahuapana,OSHAYAP,Huallaga
-76.48513,-5.66705,Maranatha,Principal,Chayahuita (Shawi),Cahuapana,OSHAYAP,Huallaga
-76.76328,-5.49275,Nueva Vida,Principal,Chayahuita (Shawi),Cahuapana,OSHAYAP,Huallaga
-76.65988,-5.71523,San Antonio,Principal,Chayahuita (Shawi),Cahuapana,OSHAYAP,Huallaga
-76.53673,-5.64492,Panan,Principal,Chayahuita (Shawi),Cahuapana,FECONACHA,Huallaga
-76.54892,-5.64994,Progreso,Principal,Chayahuita (Shawi),Cahuapana,No Existe,Huallaga
-76.64935,-5.59141,Pucalpillo,Principal,Chayahuita (Shawi),Cahuapana,OSHAYAP,Huallaga
