lon,lat,nombre
-71.71102,-14.86565,Tahuapalcca
-77.49398,-8.9913,San Pedro de Chinguil
-75.45961,-12.82011,Tipicocha
-71.61195,-14.5993,Oqquebamba
-72.06638,-13.42773,Ccorimarca
-71.72785,-13.70753,Mancco
-77.9492,-9.12141,Chaclancayo
-76.6424,-11.81228,Chaclla
-77.40652,-9.71149,Los Andes de Recuay
-74.15046,-12.72153,Cercan
-71.13628,-14.152,Lahua Lahua
-70.67683,-13.21669,Huacyumbre
-77.651,-9.1691,Tumpa
-76.17857,-10.62003,La Candelaria
-69.81593,-15.18137,Antacahua
-71.6938,-13.49633,Huayllapata
-75.07364,-11.66649,Chupa
-71.93517,-13.56407,Huillcarpay
-76.65932,-11.29503,Chisque
-79.78546,-4.63394,Chonta
-69.84568,-16.05981,San Carlos
-77.14392,-10.36735,Nanis
-74.49679,-13.22698,Paccha
-77.39757,-9.67764,Cordillera Blanca
-77.32076,-9.19002,San Antonio de Macuash
-76.68367,-9.57656,Quivilla
-76.18989,-10.62068,San Miguel
-73.98634,-13.28366,San Isidro de Soytocco
-76.46675,-12.68422,Coayllo
-71.9585,-13.71456,Ayllo Pachicte o Mollebamba
-77.60485,-9.58166,24 de Junio de Piruruyoc - Canshan
-80.0982,-4.8641,Tunal Zapallal
-78.78566,-7.07807,Unanca
-76.81353,-12.08532,Collanac
-76.18165,-10.42666,Huariaca
-72.14927,-14.04579,Quehuincha
-72.2371,-13.45162,San Nicolas de Bari
-72.91333,-15.13175,Ccayahua
-73.21243,-4.31017,El Chino
-69.74769,-15.08632,Chullocota Chucallane
-77.28419,-8.73177,Santa Rosa
-71.04183,-13.57614,Puyca
-75.67535,-12.91993,Ortigal
-74.75992,-12.50534,Huari
-76.58748,-11.42869,Obrajillo
-71.34745,-14.06787,Sallocca
-69.70606,-14.9892,Santa Cruz de Chillimuri
-71.82214,-13.28461,Poques
-78.0596,-9.03313,Cosma
-71.84071,-13.7415,Cucuchiray
-76.76826,-11.21006,Coto
-73.09681,-13.83141,Pichirhua
-74.94593,-12.66195,Chillhuapampa
-80.04307,-4.79808,Tupac Amaru de Llicsa Grande Cerro Lima y Zapotal
-73.55465,-14.63501,Huray Huma
-70.6749,-14.99247,Pacobamba Alto
-76.09213,-10.12369,Lomas Gordas
-73.15508,-13.86741,San Mateo Taqquebamba
-71.64414,-14.10244,San Juan
-74.18477,-15.22162,Sancos
-73.73647,-15.15705,Carhuanilla
-69.78873,-15.14258,Chuquiaguillo
-71.67878,-13.49849,"Tambopata
"
