lon,lat,punto,componentes,n_componentes,informe,evaluacion,registros
-76.417273,-2.815621,S0350-AS-001,Agua,1,INFORME N° 00044-2023-OEFA/DEAM-SSIM,Evaluación ambiental para la identificación del sitio impactado por actividades de hidrocarburos con código S0350,63
-76.433141,-2.809144,S0348-AS-DUP,Agua,1,INFORME N° 00016-2023-OEFA/DEAM-SSIM,Evaluación ambiental para la identificación del sitio impactado por actividades de hidrocarburos con código S0348,64
-76.435749,-2.80177,S0352-AS-002-DUP,Agua,1,INFORME N° 00023-2023-OEFA/DEAM-SSIM,Evaluación ambiental para la identificación del sitio impactado por actividades de hidrocarburos con código S0352,44
-76.431181,-2.810096,S0371-SED-001,Sedimento,1,INFORME N° 00004-2023-OEFA/DEAM-SSIM,Evaluación ambiental para la identificación del sitio impactado por actividades de hidrocarburos con código S0371,51
-76.431442,-2.810114,S0371-SED-002,Sedimento,1,INFORME N° 00004-2023-OEFA/DEAM-SSIM,Evaluación ambiental para la identificación del sitio impactado por actividades de hidrocarburos con código S0371,51
-76.431658,-2.809987,S0371-SED-003,Sedimento,1,INFORME N° 00004-2023-OEFA/DEAM-SSIM,Evaluación ambiental para la identificación del sitio impactado por actividades de hidrocarburos con código S0371,51
-76.433448,-2.810202,S0348-SED-004,Sedimento,1,INFORME N° 00016-2023-OEFA/DEAM-SSIM,Evaluación ambiental para la identificación del sitio impactado por actividades de hidrocarburos con código S0348,52
-76.433141,-2.809144,S0348-SED-001,Sedimento,1,INFORME N° 00016-2023-OEFA/DEAM-SSIM,Evaluación ambiental para la identificación del sitio impactado por actividades de hidrocarburos con código S0348,52
-76.433096,-2.809515,S0348-SED-002,Sedimento,1,INFORME N° 00016-2023-OEFA/DEAM-SSIM,Evaluación ambiental para la identificación del sitio impactado por actividades de hidrocarburos con código S0348,52
-76.432989,-2.809958,S0348-SED-003,Sedimento,1,INFORME N° 00016-2023-OEFA/DEAM-SSIM,Evaluación ambiental para la identificación del sitio impactado por actividades de hidrocarburos con código S0348,52
-76.432927,-2.8107,S0348-SED-005,Sedimento,1,INFORME N° 00016-2023-OEFA/DEAM-SSIM,Evaluación ambiental para la identificación del sitio impactado por actividades de hidrocarburos con código S0348,52
